,Beer Names,Rating,Locations,Reviews,Users,City
1299,Spaten Münchner Hell / München / Premium,5,"Munich, Bavaria","In Bavaria they like to call a spade a spade. Especially if you’re  a beer, which they also like to call a Spade. Literally. 
As has been well documented beer has experienced a real renaissance in recent years, especially amongst the New wave craft brewery’s who really ate taking beer ‘to the limit and beyond’. It is nice therefore to remind ourselves once in a while that some people have been doing this for centuries. German Monks mainly.
 Spartan is one of Bavaria’s core beers bound by their purity laws. This makes it so excellent. A clear golden pour, crisp refreshing and date that slips down so smoothly. And a finish that plays your spine like a xylophone! Delicious 
Prost!
",IPAMonger135,Munich
1300,21st Amendment Sparkale,1,"San Leandro, California",Bought a six pack of cans at wholefoods. Tastes like a cheap sweet wine. Really disappointed.,silo31,San Leandro
1301,Mickeys Fine Malt Liquor,5,"Milwaukee                       , Wisconsin",Ohhh Mickey’s.. I can’t count how many darkened days and sunny nights you’ve gotten me through. You truly are the FINEST of malt liquors.,B1gD1ckWeis,Milwaukee                       
1302,Golden Road / Estrella Jalisco Mango Michelada,5,"Los Angeles, California",I bought this at my local Foods Co about 2 weeks ago and had a sudden craving for the authenticity of the mango taste paired with the clamtato and other mixes that make this a michelada. Unfortunately when i went back to FoodsCo they were all sold out. I decided to try the liquor store across from foodsco and i was in luck. I bought 4 x 25 oz cans. For me the taste is just as refreshing as the can looks. It is not too thick and smells as expected...just like a mango michelada.,HopsChief36,Los Angeles
1303,Marston's Resolution / Low C,4.7,"Burton-on-Trent, Staffordshire","Not an advert, but at £.80p a bottle if you order 3x24 cases to avoid delivery charge.

Very low calorie where all sugar turns to alcohol- so pretty much Carb free (about 2g a bottle)

Like others have said, ignore The CAMRA beer snobs who don’t seem to understand that this is brewed this way deliberately to keep the calories down.  What on earth do they expect??",PubLegion34,Burton-on-Trent
1304,Cloudwater Human Meanings,2.2,"Manchester, Greater Manchester",Not sure what to make of this bit sour and ciderish.  Each to their own but I was shocked by how poor this was,keerin,Manchester
1305,Funky Buddha Tequila Margarita Gose,0.6,"Oakland Park, Florida","I know I like to shit on this brewery sometimes for their funky concoctions, but truth is they can make regular beers very well. Which is probably why I call them out - they make way too many beers that don't taste like beer. Now often, they amaze me as they can make these weird flavors taste good in beer, and make them taste authentic. But also, it's usually nothing more than a sip and ""oh, that's neat"" before you want to move on. Can you drink a pint of one of those weird sweet flavored beers? Fuck no. Now on to the current rating. The Margarita Gose falls into their concoction category. So it is one of those ""oh, it's neat, tastes like a margarita, now back to beer"" reactions? Hell no it isn't. This is some awful shit right here. Sour with weird lime flavors, strange bitterness, vomit-esque finish. Two sips. Then shared two sips with others, who equally hated it. Then a third sip to confirm what I was tasting. Then down the drain. Guess what - I'll take the blame for wasting $15 on a 4-pack from a brewery known for making stupid fucking beers. But also guess what - this is the last time I spend any money on Funky Buddha. Fuck you assholes.",PhillyBeer2112,Oakland Park
1306,Benediktiner Weissbier,5,"Ettal, Bavaria","Excelente corona de espuma blanca, maltas muy presentes y amargor muy bajo. Muy buen cuerpo y acidez bien equilibrada. Suguiere olor y sabor a migajon.",fabianpina85,Ettal
1307,Galereux,5,"Neckarsulm, Baden-Württemberg",Found this beer back at uni and have never looked back. Galereux changed my life with its bold flavours and sick cunt attitude. It's true how the old saying goes - Galereux WILL get you through. Fuck the haters this drink is divide. £2.60 for 4 cans mate give me 17.,MaltoseMuse38,Neckarsulm
1308,Ale Asylum Ballistic IPA,1.3,"Madison, Wisconsin","Pours with a deep caramel color with a much higher malty flavor than expected for a New England IPA. Slightly hazy with a mediocre hop profile that is overwhelmed by malts. Drinkable but will not purchase again. 

---Rated via Beer Buddy for iPhone",nran17,Madison
1309,Adnams Ghost Ship Alcohol Free,4.5,"Southwold, Suffolk","The most convincing NA beer I know. Most friends who have tried this out of a pint glass have got half way through before I've broken it to them, then it's a bit of double checking the label. Fantastic mouthfeel and flavour is perfectly thirst quenching. A fairly old fashioned bitter style, not to mad on the hops, but plenty of flavour.",LagerTeam39,Southwold
1310,Carlsberg Special Brew,4.1,"Northampton, Northamptonshire","A fantastic beer with a bad reputation, which is a shame. In a blind taste test with Leffe Blonde I challenge you to tell the difference. In fact i prefer it. One of my favourite beers. Moderation is key.",NobleTickers31,Northampton
1311,Adroit Theory All Shall Perish,1.8,"Purcellville, Virginia",Can shared from Tavour. The beer is a hazy gold with a big head of white foam. The aroma is pretty raunchy and earthy. Smells a bit like funky sweat. Taste is a bit off putting as well. Medium body and medium carbonation.,JStax,Purcellville
1312,Beck's Limited Edition 2013 Chili Mango,5,"Bremen, Bremen","Sehr spannende Kombination, schmeckte erstaunlich gut und erfrischend. Schade, dass es das Bier nicht mehr gibt.",BrewerySampler31,Bremen
1313,Meantime Yakima Red,1.2,"Greenwich, Greater London","(red-orange, nez ~hoppy, bouche évanescente qui vit moins longtemps qu’une rose de Ronsard, ~aucun plaisir)",julesxxl,Greenwich
1314,Paradox Beer Skully Barrel No. 61 (Cafe Vibrante),1.4,"Divide, Colorado","Tap at First Draft in Minneapolis, MN. Really didn't like this one. Green pepper, cinnamon, sour.",BVery,Divide
1315,Beck's,4,"Bremen, Bremen",Amargor pronunciado e um leve salgado. Custo alto no Brasil em relação a categoria.,marcelogas,Bremen
1316,Upright Two Tone,1.4,"Portland, Oregon","On tap at Farmhouse Fest 2019, pours  a cloudy golden with a small white head. Aroma brings out tons of diacetyl, not much else - ugh. Flavour is unpleasant, with rustic saison yeast and heaps of diacetyl. This is gross.",mcberko,Portland
1317,Lone Star,5,"Los Angeles, California",It’s not for everyone but it’s a solid lager with better flavor then some would like to give credit. Grain and corn combo with a subtle sweet finish.,BrewMaster98,Los Angeles
1318,Bellwoods Barn Owl (Blend No. 18),2.2,"Toronto, Ontario","Bottle at Farmhouse Fest 2019, pours a hazy blonde with a small white head. Aroma brings out passionfruit, and sulphuric notes. Flavour is messed up, with rubber, subdued passionfruit, and sulphuric notes. There is something wrong here. Very sulphuric.",mcberko,Toronto
1319,Ballast Point Lager,1,"San Diego, California","For the price, I should have bought Yuengling Golden Pilsner or Founder’s Solid Gold. This beer disappointed me. It’s drinkable, but not worth the $10.99 I spent for a six-pack.",BJSixstring,San Diego
1320,Lagunitas A Little Sumpin' Sumpin' Ale ,2.2,"Petaluma, California",Aroma a lúpulo casi nulo con algo sintético o plástico de fondo. Nada agradable. Sabor muy lupulizado con poco cuerpo. Alcohol presente. Final seco resinoso  y alcoholico. No volveré a probarla pese a que esta en concreto tenía unos 6 meses desde fabricación.,eurekabrewer,Petaluma
1321,Wychwood Ginger Beard (Bottle),4.1,"Witney, Oxfordshire","0.5l bottle. Amber color, small dirty white head. You can smell ginger and lemon aroma. Nicely balanced, closer to the sweet side. Flavour is lemon, ginger, maybe a touch of orange. Gingerroot aftertaste. I quite enjoyed it.",Salieri92,Witney
1322,Left Handed Giant Sorcerers & Magicians,1.2,"Bristol, Gloucestershire","Clear red colour with a large,pink head. Aroma is malty, wheat, yeasty, and fruit like cherry. Flavor sweet and tart. You find flavours that remind you of pear cider, with a sweet and light yeast flavour.  A lot of colour but unfortunately the flavour do not live up to that, and i missing the cherry flavour.",ölälgen,Bristol
1323,Riedenburger Dolden Null,4.5,"Riedenburg/Altmühltal, Bavaria",Orange golden hazy appearance with a frothy head. Typical grapefruit smell of an IPA with a smell of oranges and cloves which makes it taste like a fruity gingerbread. Frankly the best low alcohol beer I ever drank. I'm not even missing the full amount of alcohol in this one. I'm surprised it's possible to make a low alcohol IPA.,ophone,Riedenburg/Altmühltal
1324,Coors Banquet Beer,3.5,"Golden, Colorado","Take this beer for what it is:
Easy drinking.
Cheap
You need a 24 that will last a few days at the cottage and goes down easy then this is it. I enjoy a good hoppy beer or strong ale for flavour but I enjoy this beer more when I want to crush back a few on a summer day.  Maybe not as good as some lagers out there but nothing to complain about.  I wouldn't mind a stronger alcohol content.  Solid 3.5 stars out of 5 for me.",BreweryStein25,Golden
1325,Kona Big Wave Golden Ale,0.8,"Kailua Kona, Hawaii","This beer was recommended to me by a friend who was delighted with him. For me, the beauty of this beer turned out to be only in that it was produced in Hawaii because I live in Russia.",AllGrainTapper29,Kailua Kona
1326,AleSmith Noble Empire,2.3,"San Diego, California","Pours black with a small head.
Nose shows liquorice, port-like notes, vegemite, raisins, booze, oxidised notes and chocolate.
Flavours include more roasted malt, liquorice, hot booze, oxidised notes and vegemite.",Davros,San Diego
1327,Molson Canadian,4.6,"Montréal, Quebec",This taste like Coors Banquet and could very well come out of the same tanks but it is more expensive so I don't buy it very often.,LocalAromas22,Montréal
1328,Labatt Blue,4.8,"London, Ontario",This is good beer.  I would buy it more often but I feel like I'm getting screwed because the bottle is only 11.5 oz.  What is that all about?,LocalAromas22,London
1329,Miller Lite,4.6,"Milwaukee                       , Wisconsin",Great beer.  Great choice.  This page indicates that Pilsner is Lager.  A lot of people have a hard time grasping that pilsner is lager.,LocalAromas22,Milwaukee                       
1330,Coors Light,4.5,"Golden, Colorado","This is an awesome beer.  But, it aggravates me that they stole the Silver Bullet nickname from Sterling 16 oz cans.",LocalAromas22,Golden
1331,Budweiser Select,4.3,"St. Louis, Missouri",This is Budweiser's answer to Coors Light an Miller Lite.  One can't go wrong with it if they're in the mood for a light beer.  It has a crown on the bottle cap because it's in the King of Beers family.,LocalAromas22,St. Louis
1332,Coors Banquet Beer,5,"Golden, Colorado",Of course this is good beer.  It's the beer that made Boulder famous. I love this beer and wish that I got invited to banquets more often so I could drink more of it.,LocalAromas22,Golden
1333,Bud Light,3,"St. Louis, Missouri","Not enough taste for me.  But, it is available everywhere in any packing  and size that one needs.",LocalAromas22,St. Louis
1334,Kona Big Wave Golden Ale,5,"Kailua Kona, Hawaii",Excellent summer beer. Light with just a hint of fruit.  This is my new favorite!,DraftPours36,Kailua Kona
1335,Pabst Blue Ribbon,5,"Los Angeles, California","Currently, my preferred beer.  But, it's very hard to find in a 12 oz. bottle and 6 pack.  Pabst is packed with taste.  I amazed that Miller Coors brews a better beer this good as a co-packer.  This is the same stuff that won the blue ribbon.",LocalAromas22,Los Angeles
1336,Rolling Rock Extra Pale,5,"St. Louis, Missouri","Refreshing and affordable.  Rolling Rock is what beer should be.  Taste buds change throughout one's life.  Currently, I'm a light lager guy.  (When I was a young buck, my beers looked like used motor oil.)  You can't go wrong with Rolling Rock.  If you buy it can, I recommend pouring it in a glass.",LocalAromas22,St. Louis
1337,Wicked Weed Medora Blackberry Raspberry Sour,2.4,"Asheville, North Carolina","Bottle. Looks like cloudy, purple Kool-aid. Aroma is fruity and funky. Taste is blackyberry, sour and funky.",tnkw01,Asheville
1338,Jubel Alpine Beer Cut With Peach,4.8,"Penryn, Cornwall","I saw this in Sainsbury’s and decided to give it a go. Having had many demi-peches in the Alps I wanted to see how it compared. 

Pouring, it had a good light peach aroma and was pale yellow with a good head. Took my first sip and it took me right back to the Alps. Amazingly refreshing like a fruit cider but with a dry finish of a lager. It went down way too quick – sign of a good beer.",BarrelTun40,Penryn
1339,Maui Brewing Big Swell IPA,1.1,"Kihei, Maui, Hawaii","$2 can from vintage estate. A slightly deeper yellow than pale. Big foam y head, more than half of glass is foam, even with a gentle pour. Head goes craggy, unrelenting. Smell is typical rough volatile IPA. First tate is all IPA, bitter nasty resinous mouth coating chewing on green grapefruit rinds mixed with pine tar. What else can be said? Its just another of a million typically ubiquitous IPA that treads into double imperial IPA territory. IPA, the beer with a preservative in it. Rude mah-fah.",cheap,Kihei
1340,Michelob Ultra Lime Cactus,4,"St. Louis, Missouri","Good, cheap drinking beer.  Must be popular, because always sold out.  Much better than competitors.",bryan1016,St. Louis
1341,Apoldaer Festbock,5,"Apolda, Thuringia","I dont like bock bier, but i heard before that i should try this one. I bought it in Erfurt and i drink it during my train journey eastwards. Oh boy, this one is good one. Probably one of the best i ever haved. Complex taste, subtle aroma. Made me relaxed so quickly. Thuringen knows how to do it. Bravo.",darsim,Apolda
1342,Frankfurter Pilsener Premium,4.5,"Frankfurt an der Oder, Brandenburg","Well, i really enjoyed that beer. It reminds me those flavours, how used to good Polish beer tasted like. It is drinkable indeed, but in its own way. At the beginning one is being overwhelmed with hoppy flavours, only to smoothly face a new taste, more watery, however classic. I love it. One of the best Pilseners I ever haved. Thanks.",darsim,Frankfurt an der Oder
1343,Leinenkugels Summer Shandy,1,"Chippewa Falls, Wisconsin","It’s like the great value version of Sam Adams’s porch rocker (which is 100% better FYI) it’s like someone made a drink half natural light half watered down powdered lemonade... nasty
",olewat,Chippewa Falls
1344,Bud Light Lime Coco-Nut-Rita,0.5,"St. Louis, Missouri",All the worst qualities of a coconut water with a healthy dose of 8% alcohol.,bpreo,St. Louis
1345,Karmeliten Festbier,5,"Straubing, Bavaria","Excelente olor afrutado, no mucha espuma pero es blanca y se adhiere bien. Muy fácil de beber, sabor intenso de la malta incluso dulce como el cereal del desayuno. Sensación de cuerpo y carbonatacion en la boca, amargor apenas perceptible.",fabianpina85,Straubing
1346,Chihuahua Cerveza El Primero,4.2,"Newport Beach, California","Nice pilsner backbone with slight corny sweetness. Very low hop
Bitterness. Appearance: Nice Yellow light lager with a crisp, thin head. True to style, enjoy seeing quality competition in the Mexican style market.",BubbleSensei26,Newport Beach
1347,Firestone Walker 805,0.5,"Paso Robles, California","12 oz can poured into a pint glass. Didn't know what the fuck kind of beer this was when I bought the sixpack. There is some lame description on the packaging. The brewers never got around to stating exactly what type of beer I was buying. So, what I end up with is expensive and boring amber ale. My advice is not to bother with this one as it is a shit beer on par with budzilla. Everyone who buys this kat piss by mistake, like I did, should demand their money back!",tntracey,Paso Robles
1348,Wild Blue,5,"St. Louis, Missouri","The best beer I have ever had. Good first flavor. Nice color. Fantastic aftertaste. Can’t find it anymore. Alas, you find a great beer, then it disappears. :~{",BarrelChief42,St. Louis
1349,Natural Light Naturdays,0.5,"St. Louis, Missouri","This stuff is gross. The guy who came up with this needs to be fired immediately!!!
",WortRater32,St. Louis
1350,Paulaner Salvator,1.8,"Munich, Bavaria",Pésima. Me costó bastante terminármela porque el sabor no es nada bueno. La única sensación que me dió fue de asco,MattCP,Munich
1351,Skinny Brands Lager,4.5,"Ashton under Lyne, Greater Manchester","Heard about these so looked on Amazon and found them 12 bottles for £12. First attempt they were broken in transit so had to re order and they came today. From the looks of it they are made in Ashton (4 miles from me) but came from Peterborough!!+confused. 

I'm on a diet so wanted to see if these will help as I love a drink and I'm not disappointed, it's not the best beer in the world but it is quite refreshing, crispy dry-nessss. A little bitterness and can taste hops and malts. It would be nothing special if it wasn't 89 calories. It deserves a high score cos I can at least drink this in the knowledge it's low calorie. 1 or 2 of these and a cloudwater not a bad night",topherwalk,Ashton under Lyne
1352,Wolfscraft Frisch-Pils,1.6,"Freising, Bavaria","Geruch und Geschmack irgendwie scharf. Sehr bitter, im Geschmack auch alte Gummireifen. Wirkt, als wäre es nicht lang genug gelagert.",Tayeth,Freising
1353,Löwenbräu Original,5,"Munich, Bavaria","Lion Beer! 
Another one of Bavaria’s original beers adhering to their Purity laws. This beer is a total babe! Crisp golden pour- caramel toffee  notes on the nose. A full-smooth, refreshing mouth feel with a deliciously smooth finish.
Seriously this beer is amazing.",IPAMonger135,Munich
1354,Casablanca (Casa Beer),0.5,"Casablanca, Morocco","Pale lager du type north american light de 5 % abv.
Heineken sévit aussi au Maroc, et à Casablanca en particulier.
Casablanca est une ville portuaire, et donc intéressante pour le commerce.
De plus elle dépasse les 4 millions d'habitants, ce qui en fait un potentiel propre.
Le minaret de la mosquée Hassan II s'élève à plus de 200 mètres, faisant de
celle-ci une construction quasi pharaonique, terminée en 1993.
La bière de Heineken n'est pas quant à elle pharaonique … loin s'en faut.
Ma note est la 600 ème de cette bière, j'en suis fort heureux.
Quelqu'un lui a donné un 5, c'était la 1ère cotation de cette personne ...
Quelqu'un lui a donné un 4,2, c'était la 2ème cotation de cette personne ...
Pauvre casa.",corkyrory66,Casablanca
1355,Wainwright (Bottle),4.5,"Wolverhampton, West Midlands","Decent real ale. Crisp, clear and refreshing. A light bitter finish. It's a go to beer for me for many years. First time drinking it for a good few months but it's still the same real ale I know and love. It's not a cloudwater and never will be but it's a decent beer",topherwalk,Wolverhampton
1356,Upham UB5,5,"Bishops Waltham, Hampshire","A very fine summer beer which I have been enjoying at the Hawk Inn, Amport.  It will be very sad if this vanishes.",LovibondTun34,Bishops Waltham
1357,Bud Light Orange,5,"St. Louis, Missouri","It was appealing to me the idea of having a beer with a natural citrus flavor so I tried the lime one, it is good, but the orange one is great. It offers a very refreshing taste that smoothens the customary beer flavor, being still a beer....

Great for these hot summer days !.",IPALees33,St. Louis
1358,Shiner Cerveza De Verano,0.9,"Shiner, Texas",Thin pale clear yellow with a fair amount of carbonation in the form of tiny bubbles.  Slight malt aroma with a thin body and bland taste.  Not much going on with this one.  Spanish immigrants prefer Miller Lite and Bud Light so I'm not so sure of the push for these styles here lately.,Pershing,Shiner
1359,Budweiser,3.3,"St. Louis, Missouri",Quit hating it’s Budweiser you know what you’re getting is it amazing no but it gets the job done pretty similar in taste to other beers of the style but it also has this unique bud taste I reckon it’s from the rice overall there’s a reason everyone knows someone who drinks bud because it’s solid and consistent,slaytonrider,St. Louis
1360,New Belgium / Cervecería Primus Mural Agua Fresca Cerveza,1.2,"Fort Collins, Colorado",The only thing missing from this beer is fruit flavored gold flakes.  I don't even know what Hibiscus is.  Clear pink pour with lots of carbonation in the form of tiny bubbles.  Thin body.  Weak finish.,Pershing,Fort Collins
1361,Clown Shoes Mangö American Style Kölsch,1.8,"Boston, Massachusetts","No head whatsoever on a still dark golden body - looks awful!
False fruity aroma.
Medium to thin bodied, lifeless!
Sweet tastes of mango, water & sugar.

Awful stuff",simontomlinson,Boston
1362,Bell's Planet Series: Saturn - The Bringer Of Old Age,1.8,"Comstock, Michigan","Found old bottle from 4 years ago.

Smells like my ""best"" homebrew. Smells malty and alcoholic and too sweet.

Looks dark copper color. Easy mouth feel.

Tastes like my old homebrew. Over malty and over hoppy with weird aftertaste. I guess it's bringing bad memories of having to drink gallons of this type of stuff.

Maybe the bottle would have been better 4 years ago?",hoju777,Comstock
1363,Gulden Draak Imperial Stout,1.7,"Ertvelde, Belgium","Bottle (from Koht). Pours black. Aroma and flavor are very sweet, very boozy, sugar, roast, dirtyness. This is baaad.",martjoobolut,Ertvelde
1364,Dubuisson Rasta Trolls,1,"Pipaix, Belgium","hazy orange colour, medium sized, quickly collapsing white headaroa and taste is completely dominated by artificial pear-apple juice...why the hell at the brewery they thought tht makes sense to screw up an otherwise enjoyable beer?...",Lore,Pipaix
1365,BFM √225 Saison,2.2,"Saignelégier, Switzerland",Geprobeerd met Inoven op het Tilburgs Bierfestival. Het is een helder oranjekleurig bier met een volle witte schuimkraag. Het heeft een zurige wat wijn achtige geur. De smaak is zurig en citrus achtig.,TomHendriksen,Saignelégier
1366,BFM √225 Saison,2.2,"Saignelégier, Switzerland",Gedronken met Tomhendriksen tijdens Tilburgse proeverij. Goudgeel licht troebel bier met stevig schuim. De geur en smaak is zuur. Weinig nasmaak.,Inoven,Saignelégier
1367,Paulaner Hefeweissbier Dunkel,5,"Munich, Bavaria","Munich airport did not have a Wetherspoons. It did not need one. Munich is literally built on beer. Literally. As in, not actually, but literally. I’m confused. What was not confusing was the texture , quality & feel of this lovely little tipple.",IPAMonger135,Munich
1368,Avery Liliko'i Kepolo,1.9,"Boulder, Colorado",No head which is disappointing.  Very carbonated and fruity.  Tastes more like some kind of mixed drink than a beer.  Won’t get it again.  Why is the overall rating on this beer so high?   Misleading...this is pretty bad.,ESPh,Boulder
1369,Lagunitas Newcastle Brown Ale (US version),0.5,"Petaluma, California",This beer sucks!! I’ve been drinking new castle for over 20 years! I took one drink of this shit and knew it wasn’t right I was never a big fan of lagunitas to begin with but now I will never buy any of there products just for ruining my beer!!!!🤬🤢,TeamAlcantar,Petaluma
1370,The Kernel Biere de Saison - Sour Cherry,2,"Bermondsey, Greater London","Bottle, 750 ml. Pours a ruby red with a thin white short lasting head. Aroma is funky and wild yeast with a hint of horse manure. Taste is really sour with immature cherries and a flat aftertaste. I'm not impressed with this one. Really flat with no nuances. Almost undrinkable.",BOTnakke,Bermondsey
1371,Chick Beer,4.2,"Easton, Maryland",A low calorie beer with a lot of carbonation. A light lawnmower beer. Not a great beer but a great price and a good beer for a hot summer day. What do you want from a 97 calories beer,LagerChecker34,Easton
1372,Freigeist / Yria / Pirate Brew Agua de Valencia,0.7,"Stolberg, North Rhine-Westphalia",Agua de Puagggglencia. Contiene leva salvaje descontrolada. Nada parecido a lo que imagino que querían hacer. Huid!,eurekabrewer,Stolberg
1373,St. Austell Sayzon,5,"St. Austell, Cornwall","Nice head on pouring but fades away. Crisp refreshing hits the tounge and back of throat, citrus. Dry little bitterness. I really enjoyed drinking this beer 
",topherwalk,St. Austell
1374,American Solera Ryemera,1.5,"Tulsa, Oklahoma","2018 on the bottle and now it is 2019.. not sure it is best before date, I dont see any indication what is best before date for this..
Smell- banana, malt, bread, acidic, medium strong at start, later gets weaker and smells like yeast, acid and some rye.
Foam-medium large foam. white. Thin, acidic, sour.
Appearance- hazy orange amber, some carbonation.
Taste- sour, off tasting, it may be old, or just bad or really not my type of beer. Nothing close to kvass I am used to, did not enjoy it and could not finish (Had to feed sink).",DocuDrinks,Tulsa
1375,Heretic Chocolate Hazelnut Porter (CHP),0.5,"Fairfield, California",16oz can. ********** EXPLOSIVE WARNING ********* This one almost blew up in my hand. Huge pop and actually hurt my thumb for a while. I'm going to rate this on that experience alone ....,hopdog,Fairfield
1376,Hatherwood Bitter Iron IPA,0.5," Wimbledon, Greater London",Awful.  Tastes of licking rusty metal and IPA that actually tastes of bad weak lager.,tonyyoung, Wimbledon
1377,Hatherwood Twisted Knots American IPA,0.9," Wimbledon, Greater London",This just tasted awful from start to finish.  Actually I just binned it and couldn’t finish it.,tonyyoung, Wimbledon
1378,Störtebeker Strand-Räuber Sanddorn Weizen-Bier,4,"Stralsund, Mecklenburg-Vorpommern","Stortebeker weizen is cloudy, full bodied with light aftertaste of wheat. Not strong flavor.
",SampleLegion23,Stralsund
1379,Soproni Óvatos Duhaj Meggy Ale,4.4,"Sopron, Hungary","Nem tudom, hogy egy meggyes sör lehet-e jobb. Habja gyorsan eltűnik, de inkább csapoltan kellett volna inni, nem fémdobozból.",nikitatommy,Sopron
1380,Robinsons Old Tom With Ginger / Ginger  Tom (Bottle),5,"Stockport, Greater Manchester",Really great beer. A nice and soft taste. A good and not to strong after taste of the ginger.,frodowood,Stockport
1381,Störtebeker Whisky-Bier,4.7,"Stralsund, Mecklenburg-Vorpommern","Special beer and special fullmouth taste. Good strength of alcohol with gel rear taste of whiskey, aftertaste.",SampleLegion23,Stralsund
1382,Driftwood Fat Tug IPA,2.3,"Victoria, British Columbia","I did not like the Fat Tug IPA personally. On the nose it smells really hoppy, and I would say it tastes almost exactly how it smells at first.. The description on the can says it's balanced with malt, and oh boy is it ever... too much so in my opinion. I'm not even a big hops guy, I enjoy a mild amount but the Fat Tug just has too much hops at first followed by too strong of a malt aftertaste. I think it would be better for me personally if it committed more to a hoppy taste, which is what myself and others are probably expecting from an IPA. For people who love a combination of both at the same time though, this might do it for you.",CiderMuse30,Victoria
1383,Founders All Day IPA,0.8,"Grand Rapids, Michigan",This beer taste like when you play outside in elementary school in the dirt then you put hand sanitizer on and lick ur hands,BineChalice30,Grand Rapids
1384,BrewDog USA Juggernaut,1.8,"Canal Winchester, Ohio","Can: Canned beans smell, very vegetal, rye. Clear amber, thick head and good lacing. Apricot, significant DMS. Medium body,easy carbonation.",obguthr,Canal Winchester
1385,Cloudwater Light Lager,4.9,"Manchester, Greater Manchester","Can from cloudwater website. Came in a blue can. Massive head on pouring. Lager is Light, nearly clear as water with a shade of yellow. Lemon, grass, malty, a litter bitterness. Crisp, refreshing. I'm impressed I actually thought I wouldn't like this one, I only bought to review it. I'd definitely buy this again",topherwalk,Manchester
1386,Three Floyds Zombie Dust,1.5,"Munster, Indiana","A favorite of mine since the early days. However recent draft taps are noticeably different. Far less taste, almost a ""watered-down"" version. Bottles seemed to have escaped the change or have not hit the market yet. I will look for it but only in bottles for now. My ratings below are for the recent drafts. I hope 3 Floyds realizes their mistake and goes back to the prior formula!",DraftMaster44,Munster
1387,Montucky Cold Snack Beer,4.4,"Bozeman, Montana","Rating this beer on what it's intended to be. Every once in awhile you need a break from kind beers and want something cold and sessionable. That's what this is and it's perfect. It's cheap, perfect for summer, and a great shot chaser. Cheers.",BarleyMaster38,Bozeman
1388,Badass Redneck Lager,4.9,"Detroit, Michigan",Can’t believe people bashed this beer. It’s smooth has great flavor and no bad aftertaste. I love it. I think they nailed it. I wish I could get it in my own state of Indiana.,SourMaster32,Detroit
1389,Okanagan Premium Crisp Apple Cider,5,"Westbank, British Columbia",Amazing flavor with no bitterness or sharp ending. Really unique flavor for a hard cider.,FoamMeister29,Westbank
1390,Snoqualmie Falls Spring Fever Belgian Grand Cru,1,"Snoqualmie, Washington",Old ass bottle. Poured mahogany with all head. Noted that this was way past its prime and infected. My bad for forgetting about it ...,hopdog,Snoqualmie
1391,Stillwater Contemporary Works Nu-Tropic,2,"Baltimore, Maryland",Strong Grassy and citrusy IPA smell... taste isn't quite as bad but too bitter for me...some malty mouthfeel but all bitterness and one dimentional...too strong,geologyguy,Baltimore
1392,Steamworks Scarlet 2017,1.7,"Vancouver, British Columbia","Cloudy amber, head fades immediately. Nose of wine and harsh alcohol. Thin for style. Malt, wood, fruit and alcohol. Drain pour for me",Crit,Vancouver
1393,Stillwater / Oliver Shaken Not Stirred Vol. 2 (Ramos Gin Fizz),1.3,"Baltimore, Maryland",Smells like a urinal cake honestly...taste is kinda nasty too at first...sourness on front end is good but it turns into bitter grapes...nothing good here :( sounded great though,geologyguy,Baltimore
1394,Rivertowne Hala Kahiki Pineapple Beer,5,"Monroeville, Pennsylvania",My favorite of all time nothing like it on a hot summer day poolside 😌💦🏖👌☀️🌝🌊🍍🍍🍍🍍🍍,BrewStave29,Monroeville
1395,Ward's Best Bitter (Cask),0.8,"Houghton le Spring , Tyne & Wear",Easiest review ever..... Stop reviewing now.. Wards best and stones bitter originally brewed in sheffield.. These beers need to brewed in sheffield again. You can not recreate these two beers anywhere else to the same taste.. This is because the water anywhere else is not from sheffield. Recipe same water not.. If u like these beers now your being cheated. The taste was and always will be better brewed in sheffield.. I am a true sheffield lad. Since brewed elsewhere not been same for twenty yesrs. New brewers have bastardized the beer.. End of..,HopsTun32,Houghton le Spring 
1396,Thornbridge Jaipur,1.8,"Bakewell, Derbyshire","The beer is a little hoppy, very clear, no head. 
What is the worst, this beer has so alcoholic taste which stays on your palate and stomach for a long time. I bought 4-pack of 330ml cans, drank two of them but I gave up. 
There are much better IPAs at superstores in lower prices than this immitation of good craft beer.",Bykovsky,Bakewell
1397,Grisette Triple Bio ,0.5,"Le Roeulx, Belgium","Triple de 8 % abv en version bio (?), et en version 25 cl (ridicule).
Au programme malts d'orge et d'avoine, flocons de riz (??), épices,
sucre de canne inverti (??), acides lactique et ascorbique (???).
Mon exemplaire était à 19 mois avant sa date.
Couleur doré aux reflets ambrés, et clarté nette.
Bulles moyennes, au centre, à montée lente.
Mousse blanc cassé, à fins flocons, en nappage à 1 mm.
Arômes de maltose, miel toutes fleurs, sucre de canne.
1ère bouche assez fluide, à l'entame maltée sucrée.
Arrière-bouche assez courte, sans relief.
2ème qui s'effondre, les saveurs sont mièvres et désunies.
Arrière-bouche sans personnalité.
Longueur de très bas niveau, entre une Jupiler et une triple basique.
Jambes lisses, sans tenue.
Levure correcte.
Alcool lymphatique.
Finale sans relief.
CONCLUSION : une bière sans gluten, mais malheureusement aussi 
sans relief …
Qu'il est triste de voir St Feuillen tomber dans pareilles âneries, et 
ne parlons pas du format 25 cl ou de la composition !!!",corkyrory66,Le Roeulx
